"name","friday"
"Garcia, Sergio",140
"Pieters, Thomas",140
"Hoffman, Charley",140
"Fowler, Rickie",140
"McGirt, William",142
"Rose, Justin",143
"Moore, Ryan",143
"Rahm, Jon",143
"Couples, Fred",143
"Spieth, Jordan",144
"Mickelson, Phil",144
"Scott, Adam",144
"Kuchar, Matt",145
"Kjeldsen, Soren",145
"McIlroy, Rory",145
"Schwartzel, Charl",146
"Kaymer, Martin",146
"Matsuyama, Hideki",146
"Els, Ernie",147
"Koepka, Brooks",147
"Stuard, Brian",147
"Casey, Paul",147
"Chappell, Kevin",147
"Leishman, Marc",147
"Westwood, Lee",147
"Hagestad, Stewart",147
"Walker, Jimmy",147
"Steele, Brendan",147
"Haas, Bill",147
"Dufner, Jason",147
"Henley, Russell",147
"Stricker, Steve",148
"Perez, Pat",148
"Oosthuizen, Louis",148
"An, Byeong Hun",149
"Thomas, Justin",149
"Snedeker, Brandt",149
"Summerhays, Daniel",149
"Sullivan, Andy",149
"Grillo, Emiliano",149
"Wiesberger, Bernd",149
"Fitzpatrick, Matthew",149
"Kisner, Kevin",149
"Hadwin, Adam",149
"Luck, Curtis",150
"Fisher, Ross",150
"Berger, Daniel",150
"Hahn, James",150
"Molinari, Francesco",150
"Day, Jason",150
"Grace, Branden",150
"Mize, Larry",150
"Holmes, J.B.",150
